,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Shape,rectangle,rectangle,rectangle,rectangle,triangle,triangle,triangle,triangle,triangle,rectangle,rectangle,triangle,rectangle,rectangle
Length,0.6,0.6,2.4,2.4,0.45,0.45,0.45,0.45,1.8,1.8,0.6,1.8,1.8,0.6
Height,3.2,3.2,0.5,0.3,0.15,0.15,0.15,0.15,0.3,0.15,0.3,0.3,0.15,0.3
Grid X,3.5,6.5,4.1,4.1,4.1,6.05,4.1,6.05,1.7,1.7,1.7,7.1,7.1,8.3
Grid Y,3.5,3.5,3.5,6.4,6.25,6.25,4.0,4.0,6.4,6.55,6.7,6.4,6.55,6.7
Area,1.92,1.92,1.2,0.72,0.03375,0.03375,0.03375,0.03375,0.27,0.27,0.18,0.27,0.27,0.18
Centroidal X,3.8,6.8,5.3,5.3,4.25,6.35,4.25,6.35,2.9,2.6,2.0,7.699999999999999,8.0,8.600000000000001
Centroidal Y,5.1,5.1,3.75,6.550000000000001,6.3500000000000005,6.3500000000000005,4.05,4.05,6.6000000000000005,6.625,6.8500000000000005,6.6000000000000005,6.625,6.8500000000000005
I-X,1.6384000000000005,1.6384000000000005,0.024999999999999998,0.0053999999999999986,4.2187499999999995e-05,4.2187499999999995e-05,4.2187499999999995e-05,4.2187499999999995e-05,0.0013499999999999999,0.00050625,0.0013499999999999996,0.0013499999999999999,0.00050625,0.0013499999999999996
I-Y,0.05759999999999999,0.05759999999999999,0.576,0.3455999999999999,0.00037968750000000003,0.00037968750000000003,0.00037968750000000003,0.00037968750000000003,0.048600000000000004,0.0729,0.0053999999999999986,0.048600000000000004,0.0729,0.0053999999999999986
Bridge Centroid,5.299999999999999,5.331901840490798,,,,,,,,,,,,
Centroidal MOI,11.535,7.059559969325157,,,,,,,,,,,,
